# The coordinates for the HyCal is a left-handed Cartesian frame               #
#==============================================================================#
#       front view          |               side view                          #
#           +Y              |                                                  #
# -X        O       +X      |  Beam(-Z)    O(HyCal PbWO4 Surface)  PMTs(+Z)    #
#           -Y              |                                                  #
#==============================================================================#
#   name      type  size_x  size_y  size_z           x           y           z #
#==============================================================================#
     G38   PbGlass   38.15   38.15     450    -276.385     524.425      -189.4
     G39   PbGlass   38.15   38.15     450    -238.235     524.425      -189.4
     G40   PbGlass   38.15   38.15     450    -200.085     524.425      -189.4
     G41   PbGlass   38.15   38.15     450    -161.935     524.425      -189.4
     G42   PbGlass   38.15   38.15     450    -123.785     524.425      -189.4
     G43   PbGlass   38.15   38.15     450     -85.635     524.425      -189.4
     G44   PbGlass   38.15   38.15     450     -47.485     524.425      -189.4
     G45   PbGlass   38.15   38.15     450      -9.335     524.425      -189.4
     G46   PbGlass   38.15   38.15     450      28.815     524.425      -189.4
     G47   PbGlass   38.15   38.15     450      66.965     524.425      -189.4
     G48   PbGlass   38.15   38.15     450     105.115     524.425      -189.4
     G49   PbGlass   38.15   38.15     450     143.265     524.425      -189.4
     G50   PbGlass   38.15   38.15     450     181.415     524.425      -189.4
     G51   PbGlass   38.15   38.15     450     219.565     524.425      -189.4
     G52   PbGlass   38.15   38.15     450     257.715     524.425      -189.4
     G53   PbGlass   38.15   38.15     450     295.865     524.425      -189.4
     G54   PbGlass   38.15   38.15     450     334.015     524.425      -189.4
     G55   PbGlass   38.15   38.15     450     372.165     505.625      -189.4
     G56   PbGlass   38.15   38.15     450     410.315     505.625      -189.4
     G57   PbGlass   38.15   38.15     450     448.465     505.625      -189.4
     G58   PbGlass   38.15   38.15     450     486.615     505.625      -189.4
     G59   PbGlass   38.15   38.15     450     524.765     505.625      -189.4
     G60   PbGlass   38.15   38.15     450     562.915     505.625      -189.4
     G61   PbGlass   38.15   38.15     450    -543.435     486.275      -189.4
     G62   PbGlass   38.15   38.15     450    -505.285     486.275      -189.4
     G63   PbGlass   38.15   38.15     450    -467.135     486.275      -189.4
     G64   PbGlass   38.15   38.15     450    -428.985     486.275      -189.4
     G65   PbGlass   38.15   38.15     450    -390.835     486.275      -189.4
     G66   PbGlass   38.15   38.15     450    -352.685     486.275      -189.4
     G67   PbGlass   38.15   38.15     450    -314.535     486.275      -189.4
     G68   PbGlass   38.15   38.15     450    -276.385     486.275      -189.4
     G69   PbGlass   38.15   38.15     450    -238.235     486.275      -189.4
     G70   PbGlass   38.15   38.15     450    -200.085     486.275      -189.4
     G71   PbGlass   38.15   38.15     450    -161.935     486.275      -189.4
     G72   PbGlass   38.15   38.15     450    -123.785     486.275      -189.4
     G73   PbGlass   38.15   38.15     450     -85.635     486.275      -189.4
     G74   PbGlass   38.15   38.15     450     -47.485     486.275      -189.4
     G75   PbGlass   38.15   38.15     450      -9.335     486.275      -189.4
     G76   PbGlass   38.15   38.15     450      28.815     486.275      -189.4
     G77   PbGlass   38.15   38.15     450      66.965     486.275      -189.4
     G78   PbGlass   38.15   38.15     450     105.115     486.275      -189.4
     G79   PbGlass   38.15   38.15     450     143.265     486.275      -189.4
     G80   PbGlass   38.15   38.15     450     181.415     486.275      -189.4
     G81   PbGlass   38.15   38.15     450     219.565     486.275      -189.4
     G82   PbGlass   38.15   38.15     450     257.715     486.275      -189.4
     G83   PbGlass   38.15   38.15     450     295.865     486.275      -189.4
     G84   PbGlass   38.15   38.15     450     334.015     486.275      -189.4
     G85   PbGlass   38.15   38.15     450     372.165     467.475      -189.4
     G86   PbGlass   38.15   38.15     450     410.315     467.475      -189.4
     G87   PbGlass   38.15   38.15     450     448.465     467.475      -189.4
     G88   PbGlass   38.15   38.15     450     486.615     467.475      -189.4
     G89   PbGlass   38.15   38.15     450     524.765     467.475      -189.4
     G90   PbGlass   38.15   38.15     450     562.915     467.475      -189.4
     G91   PbGlass   38.15   38.15     450    -543.435     448.125      -189.4
     G92   PbGlass   38.15   38.15     450    -505.285     448.125      -189.4
     G93   PbGlass   38.15   38.15     450    -467.135     448.125      -189.4
     G94   PbGlass   38.15   38.15     450    -428.985     448.125      -189.4
     G95   PbGlass   38.15   38.15     450    -390.835     448.125      -189.4
     G96   PbGlass   38.15   38.15     450    -352.685     448.125      -189.4
     G97   PbGlass   38.15   38.15     450    -314.535     448.125      -189.4
     G98   PbGlass   38.15   38.15     450    -276.385     448.125      -189.4
     G99   PbGlass   38.15   38.15     450    -238.235     448.125      -189.4
    G100   PbGlass   38.15   38.15     450    -200.085     448.125      -189.4
    G101   PbGlass   38.15   38.15     450    -161.935     448.125      -189.4
    G102   PbGlass   38.15   38.15     450    -123.785     448.125      -189.4
    G103   PbGlass   38.15   38.15     450     -85.635     448.125      -189.4
    G104   PbGlass   38.15   38.15     450     -47.485     448.125      -189.4
    G105   PbGlass   38.15   38.15     450      -9.335     448.125      -189.4
    G106   PbGlass   38.15   38.15     450      28.815     448.125      -189.4
    G107   PbGlass   38.15   38.15     450      66.965     448.125      -189.4
    G108   PbGlass   38.15   38.15     450     105.115     448.125      -189.4
    G109   PbGlass   38.15   38.15     450     143.265     448.125      -189.4
    G110   PbGlass   38.15   38.15     450     181.415     448.125      -189.4
    G111   PbGlass   38.15   38.15     450     219.565     448.125      -189.4
    G112   PbGlass   38.15   38.15     450     257.715     448.125      -189.4
    G113   PbGlass   38.15   38.15     450     295.865     448.125      -189.4
    G114   PbGlass   38.15   38.15     450     334.015     448.125      -189.4
    G115   PbGlass   38.15   38.15     450     372.165     429.325      -189.4
    G116   PbGlass   38.15   38.15     450     410.315     429.325      -189.4
    G117   PbGlass   38.15   38.15     450     448.465     429.325      -189.4
    G118   PbGlass   38.15   38.15     450     486.615     429.325      -189.4
    G119   PbGlass   38.15   38.15     450     524.765     429.325      -189.4
    G120   PbGlass   38.15   38.15     450     562.915     429.325      -189.4
    G121   PbGlass   38.15   38.15     450    -543.435     409.975      -189.4
    G122   PbGlass   38.15   38.15     450    -505.285     409.975      -189.4
    G123   PbGlass   38.15   38.15     450    -467.135     409.975      -189.4
    G124   PbGlass   38.15   38.15     450    -428.985     409.975      -189.4
    G125   PbGlass   38.15   38.15     450    -390.835     409.975      -189.4
    G126   PbGlass   38.15   38.15     450    -352.685     409.975      -189.4
    G127   PbGlass   38.15   38.15     450    -314.535     409.975      -189.4
    G128   PbGlass   38.15   38.15     450    -276.385     409.975      -189.4
    G129   PbGlass   38.15   38.15     450    -238.235     409.975      -189.4
    G130   PbGlass   38.15   38.15     450    -200.085     409.975      -189.4
    G131   PbGlass   38.15   38.15     450    -161.935     409.975      -189.4
    G132   PbGlass   38.15   38.15     450    -123.785     409.975      -189.4
    G133   PbGlass   38.15   38.15     450     -85.635     409.975      -189.4
    G134   PbGlass   38.15   38.15     450     -47.485     409.975      -189.4
    G135   PbGlass   38.15   38.15     450      -9.335     409.975      -189.4
    G136   PbGlass   38.15   38.15     450      28.815     409.975      -189.4
    G137   PbGlass   38.15   38.15     450      66.965     409.975      -189.4
    G138   PbGlass   38.15   38.15     450     105.115     409.975      -189.4
    G139   PbGlass   38.15   38.15     450     143.265     409.975      -189.4
    G140   PbGlass   38.15   38.15     450     181.415     409.975      -189.4
    G141   PbGlass   38.15   38.15     450     219.565     409.975      -189.4
    G142   PbGlass   38.15   38.15     450     257.715     409.975      -189.4
    G143   PbGlass   38.15   38.15     450     295.865     409.975      -189.4
    G144   PbGlass   38.15   38.15     450     334.015     409.975      -189.4
    G145   PbGlass   38.15   38.15     450     372.165     391.175      -189.4
    G146   PbGlass   38.15   38.15     450     410.315     391.175      -189.4
    G147   PbGlass   38.15   38.15     450     448.465     391.175      -189.4
    G148   PbGlass   38.15   38.15     450     486.615     391.175      -189.4
    G149   PbGlass   38.15   38.15     450     524.765     391.175      -189.4
    G150   PbGlass   38.15   38.15     450     562.915     391.175      -189.4
    G151   PbGlass   38.15   38.15     450    -543.435     371.825      -189.4
    G152   PbGlass   38.15   38.15     450    -505.285     371.825      -189.4
    G153   PbGlass   38.15   38.15     450    -467.135     371.825      -189.4
    G154   PbGlass   38.15   38.15     450    -428.985     371.825      -189.4
    G155   PbGlass   38.15   38.15     450    -390.835     371.825      -189.4
    G156   PbGlass   38.15   38.15     450    -352.685     371.825      -189.4
    G157   PbGlass   38.15   38.15     450    -314.535     371.825      -189.4
    G158   PbGlass   38.15   38.15     450    -276.385     371.825      -189.4
    G159   PbGlass   38.15   38.15     450    -238.235     371.825      -189.4
    G160   PbGlass   38.15   38.15     450    -200.085     371.825      -189.4
    G161   PbGlass   38.15   38.15     450    -161.935     371.825      -189.4
    G162   PbGlass   38.15   38.15     450    -123.785     371.825      -189.4
    G163   PbGlass   38.15   38.15     450     -85.635     371.825      -189.4
    G164   PbGlass   38.15   38.15     450     -47.485     371.825      -189.4
    G165   PbGlass   38.15   38.15     450      -9.335     371.825      -189.4
    G166   PbGlass   38.15   38.15     450      28.815     371.825      -189.4
    G167   PbGlass   38.15   38.15     450      66.965     371.825      -189.4
    G168   PbGlass   38.15   38.15     450     105.115     371.825      -189.4
    G169   PbGlass   38.15   38.15     450     143.265     371.825      -189.4
    G170   PbGlass   38.15   38.15     450     181.415     371.825      -189.4
    G171   PbGlass   38.15   38.15     450     219.565     371.825      -189.4
    G172   PbGlass   38.15   38.15     450     257.715     371.825      -189.4
    G173   PbGlass   38.15   38.15     450     295.865     371.825      -189.4
    G174   PbGlass   38.15   38.15     450     334.015     371.825      -189.4
    G175   PbGlass   38.15   38.15     450     372.165     353.025      -189.4
    G176   PbGlass   38.15   38.15     450     410.315     353.025      -189.4
    G177   PbGlass   38.15   38.15     450     448.465     353.025      -189.4
    G178   PbGlass   38.15   38.15     450     486.615     353.025      -189.4
    G179   PbGlass   38.15   38.15     450     524.765     353.025      -189.4
    G180   PbGlass   38.15   38.15     450     562.915     353.025      -189.4
    G181   PbGlass   38.15   38.15     450    -562.915     333.675      -189.4
    G182   PbGlass   38.15   38.15     450    -524.765     333.675      -189.4
    G183   PbGlass   38.15   38.15     450    -486.615     333.675      -189.4
    G184   PbGlass   38.15   38.15     450    -448.465     333.675      -189.4
    G185   PbGlass   38.15   38.15     450    -410.315     333.675      -189.4
    G186   PbGlass   38.15   38.15     450    -372.165     333.675      -189.4
    G205   PbGlass   38.15   38.15     450     372.165     314.875      -189.4
    G206   PbGlass   38.15   38.15     450     410.315     314.875      -189.4
    G207   PbGlass   38.15   38.15     450     448.465     314.875      -189.4
    G208   PbGlass   38.15   38.15     450     486.615     314.875      -189.4
    G209   PbGlass   38.15   38.15     450     524.765     314.875      -189.4
    G210   PbGlass   38.15   38.15     450     562.915     314.875      -189.4
    G211   PbGlass   38.15   38.15     450    -562.915     295.525      -189.4
    G212   PbGlass   38.15   38.15     450    -524.765     295.525      -189.4
    G213   PbGlass   38.15   38.15     450    -486.615     295.525      -189.4
    G214   PbGlass   38.15   38.15     450    -448.465     295.525      -189.4
    G215   PbGlass   38.15   38.15     450    -410.315     295.525      -189.4
    G216   PbGlass   38.15   38.15     450    -372.165     295.525      -189.4
    G235   PbGlass   38.15   38.15     450     372.165     276.725      -189.4
    G236   PbGlass   38.15   38.15     450     410.315     276.725      -189.4
    G237   PbGlass   38.15   38.15     450     448.465     276.725      -189.4
    G238   PbGlass   38.15   38.15     450     486.615     276.725      -189.4
    G239   PbGlass   38.15   38.15     450     524.765     276.725      -189.4
    G240   PbGlass   38.15   38.15     450     562.915     276.725      -189.4
    G241   PbGlass   38.15   38.15     450    -562.915     257.375      -189.4
    G242   PbGlass   38.15   38.15     450    -524.765     257.375      -189.4
    G243   PbGlass   38.15   38.15     450    -486.615     257.375      -189.4
    G244   PbGlass   38.15   38.15     450    -448.465     257.375      -189.4
    G245   PbGlass   38.15   38.15     450    -410.315     257.375      -189.4
    G246   PbGlass   38.15   38.15     450    -372.165     257.375      -189.4
    G265   PbGlass   38.15   38.15     450     372.165     238.575      -189.4
    G266   PbGlass   38.15   38.15     450     410.315     238.575      -189.4
    G267   PbGlass   38.15   38.15     450     448.465     238.575      -189.4
    G268   PbGlass   38.15   38.15     450     486.615     238.575      -189.4
    G269   PbGlass   38.15   38.15     450     524.765     238.575      -189.4
    G270   PbGlass   38.15   38.15     450     562.915     238.575      -189.4
    G271   PbGlass   38.15   38.15     450    -562.915     219.225      -189.4
    G272   PbGlass   38.15   38.15     450    -524.765     219.225      -189.4
    G273   PbGlass   38.15   38.15     450    -486.615     219.225      -189.4
    G274   PbGlass   38.15   38.15     450    -448.465     219.225      -189.4
    G275   PbGlass   38.15   38.15     450    -410.315     219.225      -189.4
    G276   PbGlass   38.15   38.15     450    -372.165     219.225      -189.4
    G295   PbGlass   38.15   38.15     450     372.165     200.425      -189.4
    G296   PbGlass   38.15   38.15     450     410.315     200.425      -189.4
    G297   PbGlass   38.15   38.15     450     448.465     200.425      -189.4
    G298   PbGlass   38.15   38.15     450     486.615     200.425      -189.4
    G299   PbGlass   38.15   38.15     450     524.765     200.425      -189.4
    G300   PbGlass   38.15   38.15     450     562.915     200.425      -189.4
    G301   PbGlass   38.15   38.15     450    -562.915     181.075      -189.4
    G302   PbGlass   38.15   38.15     450    -524.765     181.075      -189.4
    G303   PbGlass   38.15   38.15     450    -486.615     181.075      -189.4
    G304   PbGlass   38.15   38.15     450    -448.465     181.075      -189.4
    G305   PbGlass   38.15   38.15     450    -410.315     181.075      -189.4
    G306   PbGlass   38.15   38.15     450    -372.165     181.075      -189.4
    G325   PbGlass   38.15   38.15     450     372.165     162.275      -189.4
    G326   PbGlass   38.15   38.15     450     410.315     162.275      -189.4
    G327   PbGlass   38.15   38.15     450     448.465     162.275      -189.4
    G328   PbGlass   38.15   38.15     450     486.615     162.275      -189.4
    G329   PbGlass   38.15   38.15     450     524.765     162.275      -189.4
    G330   PbGlass   38.15   38.15     450     562.915     162.275      -189.4
    G331   PbGlass   38.15   38.15     450    -562.915     142.925      -189.4
    G332   PbGlass   38.15   38.15     450    -524.765     142.925      -189.4
    G333   PbGlass   38.15   38.15     450    -486.615     142.925      -189.4
    G334   PbGlass   38.15   38.15     450    -448.465     142.925      -189.4
    G335   PbGlass   38.15   38.15     450    -410.315     142.925      -189.4
    G336   PbGlass   38.15   38.15     450    -372.165     142.925      -189.4
    G355   PbGlass   38.15   38.15     450     372.165     124.125      -189.4
    G356   PbGlass   38.15   38.15     450     410.315     124.125      -189.4
    G357   PbGlass   38.15   38.15     450     448.465     124.125      -189.4
    G358   PbGlass   38.15   38.15     450     486.615     124.125      -189.4
    G359   PbGlass   38.15   38.15     450     524.765     124.125      -189.4
    G360   PbGlass   38.15   38.15     450     562.915     124.125      -189.4
    G361   PbGlass   38.15   38.15     450    -562.915     104.775      -189.4
    G362   PbGlass   38.15   38.15     450    -524.765     104.775      -189.4
    G363   PbGlass   38.15   38.15     450    -486.615     104.775      -189.4
    G364   PbGlass   38.15   38.15     450    -448.465     104.775      -189.4
    G365   PbGlass   38.15   38.15     450    -410.315     104.775      -189.4
    G366   PbGlass   38.15   38.15     450    -372.165     104.775      -189.4
    G385   PbGlass   38.15   38.15     450     372.165      85.975      -189.4
    G386   PbGlass   38.15   38.15     450     410.315      85.975      -189.4
    G387   PbGlass   38.15   38.15     450     448.465      85.975      -189.4
    G388   PbGlass   38.15   38.15     450     486.615      85.975      -189.4
    G389   PbGlass   38.15   38.15     450     524.765      85.975      -189.4
    G390   PbGlass   38.15   38.15     450     562.915      85.975      -189.4
    G391   PbGlass   38.15   38.15     450    -562.915      66.625      -189.4
    G392   PbGlass   38.15   38.15     450    -524.765      66.625      -189.4
    G393   PbGlass   38.15   38.15     450    -486.615      66.625      -189.4
    G394   PbGlass   38.15   38.15     450    -448.465      66.625      -189.4
    G395   PbGlass   38.15   38.15     450    -410.315      66.625      -189.4
    G396   PbGlass   38.15   38.15     450    -372.165      66.625      -189.4
    G415   PbGlass   38.15   38.15     450     372.165      47.825      -189.4
    G416   PbGlass   38.15   38.15     450     410.315      47.825      -189.4
    G417   PbGlass   38.15   38.15     450     448.465      47.825      -189.4
    G418   PbGlass   38.15   38.15     450     486.615      47.825      -189.4
    G419   PbGlass   38.15   38.15     450     524.765      47.825      -189.4
    G420   PbGlass   38.15   38.15     450     562.915      47.825      -189.4
    G421   PbGlass   38.15   38.15     450    -562.915      28.475      -189.4
    G422   PbGlass   38.15   38.15     450    -524.765      28.475      -189.4
    G423   PbGlass   38.15   38.15     450    -486.615      28.475      -189.4
    G424   PbGlass   38.15   38.15     450    -448.465      28.475      -189.4
    G425   PbGlass   38.15   38.15     450    -410.315      28.475      -189.4
    G426   PbGlass   38.15   38.15     450    -372.165      28.475      -189.4
    G445   PbGlass   38.15   38.15     450     372.165       9.675      -189.4
    G446   PbGlass   38.15   38.15     450     410.315       9.675      -189.4
    G447   PbGlass   38.15   38.15     450     448.465       9.675      -189.4
    G448   PbGlass   38.15   38.15     450     486.615       9.675      -189.4
    G449   PbGlass   38.15   38.15     450     524.765       9.675      -189.4
    G450   PbGlass   38.15   38.15     450     562.915       9.675      -189.4
    G451   PbGlass   38.15   38.15     450    -562.915      -9.675      -189.4
    G452   PbGlass   38.15   38.15     450    -524.765      -9.675      -189.4
    G453   PbGlass   38.15   38.15     450    -486.615      -9.675      -189.4
    G454   PbGlass   38.15   38.15     450    -448.465      -9.675      -189.4
    G455   PbGlass   38.15   38.15     450    -410.315      -9.675      -189.4
    G456   PbGlass   38.15   38.15     450    -372.165      -9.675      -189.4
    G475   PbGlass   38.15   38.15     450     372.165     -28.475      -189.4
    G476   PbGlass   38.15   38.15     450     410.315     -28.475      -189.4
    G477   PbGlass   38.15   38.15     450     448.465     -28.475      -189.4
    G478   PbGlass   38.15   38.15     450     486.615     -28.475      -189.4
    G479   PbGlass   38.15   38.15     450     524.765     -28.475      -189.4
    G480   PbGlass   38.15   38.15     450     562.915     -28.475      -189.4
    G481   PbGlass   38.15   38.15     450    -562.915     -47.825      -189.4
    G482   PbGlass   38.15   38.15     450    -524.765     -47.825      -189.4
    G483   PbGlass   38.15   38.15     450    -486.615     -47.825      -189.4
    G484   PbGlass   38.15   38.15     450    -448.465     -47.825      -189.4
    G485   PbGlass   38.15   38.15     450    -410.315     -47.825      -189.4
    G486   PbGlass   38.15   38.15     450    -372.165     -47.825      -189.4
    G505   PbGlass   38.15   38.15     450     372.165     -66.625      -189.4
    G506   PbGlass   38.15   38.15     450     410.315     -66.625      -189.4
    G507   PbGlass   38.15   38.15     450     448.465     -66.625      -189.4
    G508   PbGlass   38.15   38.15     450     486.615     -66.625      -189.4
    G509   PbGlass   38.15   38.15     450     524.765     -66.625      -189.4
    G510   PbGlass   38.15   38.15     450     562.915     -66.625      -189.4
    G511   PbGlass   38.15   38.15     450    -562.915     -85.975      -189.4
    G512   PbGlass   38.15   38.15     450    -524.765     -85.975      -189.4
    G513   PbGlass   38.15   38.15     450    -486.615     -85.975      -189.4
    G514   PbGlass   38.15   38.15     450    -448.465     -85.975      -189.4
    G515   PbGlass   38.15   38.15     450    -410.315     -85.975      -189.4
    G516   PbGlass   38.15   38.15     450    -372.165     -85.975      -189.4
    G535   PbGlass   38.15   38.15     450     372.165    -104.775      -189.4
    G536   PbGlass   38.15   38.15     450     410.315    -104.775      -189.4
    G537   PbGlass   38.15   38.15     450     448.465    -104.775      -189.4
    G538   PbGlass   38.15   38.15     450     486.615    -104.775      -189.4
    G539   PbGlass   38.15   38.15     450     524.765    -104.775      -189.4
    G540   PbGlass   38.15   38.15     450     562.915    -104.775      -189.4
    G541   PbGlass   38.15   38.15     450    -562.915    -124.125      -189.4
    G542   PbGlass   38.15   38.15     450    -524.765    -124.125      -189.4
    G543   PbGlass   38.15   38.15     450    -486.615    -124.125      -189.4
    G544   PbGlass   38.15   38.15     450    -448.465    -124.125      -189.4
    G545   PbGlass   38.15   38.15     450    -410.315    -124.125      -189.4
    G546   PbGlass   38.15   38.15     450    -372.165    -124.125      -189.4
    G565   PbGlass   38.15   38.15     450     372.165    -142.925      -189.4
    G566   PbGlass   38.15   38.15     450     410.315    -142.925      -189.4
    G567   PbGlass   38.15   38.15     450     448.465    -142.925      -189.4
    G568   PbGlass   38.15   38.15     450     486.615    -142.925      -189.4
    G569   PbGlass   38.15   38.15     450     524.765    -142.925      -189.4
    G570   PbGlass   38.15   38.15     450     562.915    -142.925      -189.4
    G571   PbGlass   38.15   38.15     450    -562.915    -162.275      -189.4
    G572   PbGlass   38.15   38.15     450    -524.765    -162.275      -189.4
    G573   PbGlass   38.15   38.15     450    -486.615    -162.275      -189.4
    G574   PbGlass   38.15   38.15     450    -448.465    -162.275      -189.4
    G575   PbGlass   38.15   38.15     450    -410.315    -162.275      -189.4
    G576   PbGlass   38.15   38.15     450    -372.165    -162.275      -189.4
    G595   PbGlass   38.15   38.15     450     372.165    -181.075      -189.4
    G596   PbGlass   38.15   38.15     450     410.315    -181.075      -189.4
    G597   PbGlass   38.15   38.15     450     448.465    -181.075      -189.4
    G598   PbGlass   38.15   38.15     450     486.615    -181.075      -189.4
    G599   PbGlass   38.15   38.15     450     524.765    -181.075      -189.4
    G600   PbGlass   38.15   38.15     450     562.915    -181.075      -189.4
    G601   PbGlass   38.15   38.15     450    -562.915    -200.425      -189.4
    G602   PbGlass   38.15   38.15     450    -524.765    -200.425      -189.4
    G603   PbGlass   38.15   38.15     450    -486.615    -200.425      -189.4
    G604   PbGlass   38.15   38.15     450    -448.465    -200.425      -189.4
    G605   PbGlass   38.15   38.15     450    -410.315    -200.425      -189.4
    G606   PbGlass   38.15   38.15     450    -372.165    -200.425      -189.4
    G625   PbGlass   38.15   38.15     450     372.165    -219.225      -189.4
    G626   PbGlass   38.15   38.15     450     410.315    -219.225      -189.4
    G627   PbGlass   38.15   38.15     450     448.465    -219.225      -189.4
    G628   PbGlass   38.15   38.15     450     486.615    -219.225      -189.4
    G629   PbGlass   38.15   38.15     450     524.765    -219.225      -189.4
    G630   PbGlass   38.15   38.15     450     562.915    -219.225      -189.4
    G631   PbGlass   38.15   38.15     450    -562.915    -238.575      -189.4
    G632   PbGlass   38.15   38.15     450    -524.765    -238.575      -189.4
    G633   PbGlass   38.15   38.15     450    -486.615    -238.575      -189.4
    G634   PbGlass   38.15   38.15     450    -448.465    -238.575      -189.4
    G635   PbGlass   38.15   38.15     450    -410.315    -238.575      -189.4
    G636   PbGlass   38.15   38.15     450    -372.165    -238.575      -189.4
    G655   PbGlass   38.15   38.15     450     372.165    -257.375      -189.4
    G656   PbGlass   38.15   38.15     450     410.315    -257.375      -189.4
    G657   PbGlass   38.15   38.15     450     448.465    -257.375      -189.4
    G658   PbGlass   38.15   38.15     450     486.615    -257.375      -189.4
    G659   PbGlass   38.15   38.15     450     524.765    -257.375      -189.4
    G660   PbGlass   38.15   38.15     450     562.915    -257.375      -189.4
    G661   PbGlass   38.15   38.15     450    -562.915    -276.725      -189.4
    G662   PbGlass   38.15   38.15     450    -524.765    -276.725      -189.4
    G663   PbGlass   38.15   38.15     450    -486.615    -276.725      -189.4
    G664   PbGlass   38.15   38.15     450    -448.465    -276.725      -189.4
    G665   PbGlass   38.15   38.15     450    -410.315    -276.725      -189.4
    G666   PbGlass   38.15   38.15     450    -372.165    -276.725      -189.4
    G685   PbGlass   38.15   38.15     450     372.165    -295.525      -189.4
    G686   PbGlass   38.15   38.15     450     410.315    -295.525      -189.4
    G687   PbGlass   38.15   38.15     450     448.465    -295.525      -189.4
    G688   PbGlass   38.15   38.15     450     486.615    -295.525      -189.4
    G689   PbGlass   38.15   38.15     450     524.765    -295.525      -189.4
    G690   PbGlass   38.15   38.15     450     562.915    -295.525      -189.4
    G691   PbGlass   38.15   38.15     450    -562.915    -314.875      -189.4
    G692   PbGlass   38.15   38.15     450    -524.765    -314.875      -189.4
    G693   PbGlass   38.15   38.15     450    -486.615    -314.875      -189.4
    G694   PbGlass   38.15   38.15     450    -448.465    -314.875      -189.4
    G695   PbGlass   38.15   38.15     450    -410.315    -314.875      -189.4
    G696   PbGlass   38.15   38.15     450    -372.165    -314.875      -189.4
    G715   PbGlass   38.15   38.15     450     372.165    -333.675      -189.4
    G716   PbGlass   38.15   38.15     450     410.315    -333.675      -189.4
    G717   PbGlass   38.15   38.15     450     448.465    -333.675      -189.4
    G718   PbGlass   38.15   38.15     450     486.615    -333.675      -189.4
    G719   PbGlass   38.15   38.15     450     524.765    -333.675      -189.4
    G720   PbGlass   38.15   38.15     450     562.915    -333.675      -189.4
    G721   PbGlass   38.15   38.15     450    -562.915    -353.025      -189.4
    G722   PbGlass   38.15   38.15     450    -524.765    -353.025      -189.4
    G723   PbGlass   38.15   38.15     450    -486.615    -353.025      -189.4
    G724   PbGlass   38.15   38.15     450    -448.465    -353.025      -189.4
    G725   PbGlass   38.15   38.15     450    -410.315    -353.025      -189.4
    G726   PbGlass   38.15   38.15     450    -372.165    -353.025      -189.4
    G727   PbGlass   38.15   38.15     450    -334.015    -371.825      -189.4
    G728   PbGlass   38.15   38.15     450    -295.865    -371.825      -189.4
